"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"f3","yag",2,"a","modal","L",121,-3.0755,-0.801,3.384,-4.079,-15.74,-12.1975,-2.274,-4.1855,1.0035,12.6645,9.1225,21.4525,17.792,14.9275,-1.28819277095881,33.361,39.2535,41.7205,42.8835,0,0.104,215.2045,242.0655,1991.203
"f3","yag",3,"a","modal","L",126,-1.831,0.308,2.2155,-1.909,-14.1825,-6.4405,-2.139,-1.908,0.0775,12.3515,4.6095,15.5565,21.836,16.41,-1.01999662841625,37.255,42.4835,43.4985,44.1575,0,0.121,223.892,230.5285,1837.5215
"f3","yah",1,"a","breathy","L",196,-0.553,-3.2765,9.2145,-20.079,-11.355,-3.5855,2.724,-12.491,19.526,10.802,3.033,19.937,22.4195,20.715,-1.20411998265592,31.422,36.064,38.161,38.38,0.6065,0.0625,188.545,294.4395,1871.461
"f3","yah",2,"a","breathy","L",150,0.6025,-12.464,-4.908,-15.5855,-22.3805,-17.0075,13.0665,-7.5565,16.188,22.983,17.61,13.8835,15.5285,18.5525,-1.18708664335714,30.472,37.7035,40.748,40.8305,0.0915,0.061,212.88,406.0195,2199.379
"f3","yah",3,"a","breathy","L",173,3.2765,-2.2425,1.3355,-17.864,-12.6875,-7.6005,5.519,-3.578,21.1405,15.964,10.877,13.993,13.9325,17.7895,-0.891096872332687,26.7365,34.986,35.793,33.6995,0,0.09,203.3515,324.346,2259.9425
"f3","za7a",1,"a","laryngealized","F",133,-6.479,-10.3145,-24.1575,-36.2595,-33.6185,-24.549,3.8355,13.8435,29.7805,27.1395,18.07,1.502,11.862,17.113,-1.50863830616573,22.926,22.784,27.035,31.084,0.27,0.031,217.596,901.889,1574.1835
"f3","za7a",2,"a","laryngealized","F",152,-4.795,-8.6615,-14.3145,-28.221,-23.307,-19.8205,3.867,5.653,23.426,18.512,15.0255,2.309,20.725,18.882,-1.35163998901907,24.87,24.0115,28.7325,33.392,0.183,0.051,192.8785,715.406,1637.3575
"f3","za7a",3,"a","laryngealized","F",148,-4.7335,-10.6945,-22.075,-31.762,-24.6265,-18.765,5.9605,11.3805,27.028,19.893,14.031,-4.6035,19.8185,20.0485,-1.44977164694491,28.3995,26.0725,30.0605,33.9385,0.3005,0.043,203.2985,719.8135,1545.805
"f3","zah",1,"a","breathy","L",199,0.786,3.0725,6.4535,-3.4345,-3.169,-0.4855,-2.286,-3.3805,4.221,3.9555,1.2715,-6.346,47.6845,21.5215,-0.806875401645538,27.216,31.3515,35.1985,37.3615,0,0.075,196.938,230.929,1018.959
"f3","zah",2,"a","breathy","L",203,0.053,3.689,7.2405,-5.623,-4.861,-4.6925,-3.636,-3.5515,5.6755,4.914,4.745,-5.481,47.563,20.222,-0.772113295386327,32.5635,37.2885,39.8585,40.283,0,0.063,194.1585,234.7255,1129.349
